RT_Demand,DayOfWeek,HourOfDay
393.54,5.0,14.0
377.01,5.0,15.0
366.63,5.0,16.0
390.35,5.0,17.0
450.79,5.0,18.0
520.39,5.0,19.0
561.7,5.0,20.0
566.9,5.0,21.0
545.85,5.0,22.0
518.56,5.0,23.0
484.07,6.0,0.0
457.97,6.0,1.0
445.42,6.0,2.0
439.26,6.0,3.0
437.06,6.0,4.0
440.28,6.0,5.0
454.67,6.0,6.0
462.05,6.0,7.0
431.64,6.0,8.0
361.4,6.0,9.0
292.52,6.0,10.0
267.08,6.0,11.0
245.95,6.0,12.0
221.0,6.0,13.0
257.84,6.0,14.0
343.68,6.0,15.0
423.74,6.0,16.0
500.88,6.0,17.0
549.18,6.0,18.0
565.45,6.0,19.0
561.81,6.0,20.0
546.69,6.0,21.0
519.63,6.0,22.0
489.26,6.0,23.0
456.28,0.0,0.0
430.93,0.0,1.0
419.31,0.0,2.0
414.97,0.0,3.0
418.09,0.0,4.0
431.61,0.0,5.0
465.79,0.0,6.0
502.0,0.0,7.0
488.2,0.0,8.0
415.56,0.0,9.0
338.2,0.0,10.0
299.17,0.0,11.0
279.46,0.0,12.0
268.25,0.0,13.0
252.23,0.0,14.0
240.53,0.0,15.0
254.58,0.0,16.0
315.06,0.0,17.0
418.14,0.0,18.0
521.45,0.0,19.0
565.91,0.0,20.0
575.04,0.0,21.0
552.54,0.0,22.0
517.6,0.0,23.0
481.77,1.0,0.0
460.02,1.0,1.0
448.24,1.0,2.0
443.77,1.0,3.0
444.26,1.0,4.0
455.42,1.0,5.0
483.35,1.0,6.0
515.9,1.0,7.0
497.79,1.0,8.0
440.79,1.0,9.0
442.72,1.0,10.0
518.51,1.0,11.0
588.37,1.0,12.0
598.76,1.0,13.0
592.37,1.0,14.0
576.27,1.0,15.0
573.77,1.0,16.0
545.91,1.0,17.0
539.54,1.0,18.0
560.18,1.0,19.0
592.63,1.0,20.0
594.87,1.0,21.0
572.7,1.0,22.0
536.85,1.0,23.0
498.83,2.0,0.0
478.26,2.0,1.0
462.98,2.0,2.0
455.58,2.0,3.0
458.13,2.0,4.0
469.7,2.0,5.0
501.09,2.0,6.0
543.09,2.0,7.0
575.53,2.0,8.0
581.17,2.0,9.0
567.7,2.0,10.0
534.97,2.0,11.0
491.34,2.0,12.0
474.07,2.0,13.0
437.98,2.0,14.0
438.54,2.0,15.0
448.06,2.0,16.0
493.25,2.0,17.0
557.85,2.0,18.0
596.52,2.0,19.0
610.81,2.0,20.0
609.32,2.0,21.0
585.83,2.0,22.0
553.94,2.0,23.0
513.42,3.0,0.0
489.05,3.0,1.0
477.91,3.0,2.0
470.62,3.0,3.0
471.18,3.0,4.0
480.22,3.0,5.0
509.82,3.0,6.0
538.24,3.0,7.0
510.84,3.0,8.0
426.54,3.0,9.0
343.27,3.0,10.0
301.53,3.0,11.0
284.79,3.0,12.0
270.71,3.0,13.0
256.21,3.0,14.0
245.43,3.0,15.0
263.69,3.0,16.0
323.2,3.0,17.0
425.46,3.0,18.0
524.07,3.0,19.0
569.45,3.0,20.0
577.26,3.0,21.0
558.97,3.0,22.0
523.94,3.0,23.0
485.9,4.0,0.0
461.07,4.0,1.0
446.34,4.0,2.0
440.05,4.0,3.0
441.39,4.0,4.0
451.49,4.0,5.0
478.56,4.0,6.0
508.86,4.0,7.0
515.93,4.0,8.0
478.43,4.0,9.0
404.54,4.0,10.0
390.97,4.0,11.0
381.33,4.0,12.0
364.18,4.0,13.0
369.9,4.0,14.0
349.79,4.0,15.0
343.68,4.0,16.0
393.85,4.0,17.0
486.13,4.0,18.0
536.0,4.0,19.0
561.32,4.0,20.0
563.96,4.0,21.0
541.42,4.0,22.0
507.86,4.0,23.0
472.21,5.0,0.0
445.96,5.0,1.0
430.15,5.0,2.0
422.19,5.0,3.0
420.89,5.0,4.0
423.63,5.0,5.0
436.26,5.0,6.0
454.1,5.0,7.0
431.14,5.0,8.0
366.86,5.0,9.0
305.15,5.0,10.0
246.02,5.0,11.0
215.72,5.0,12.0
207.7,5.0,13.0
187.32,5.0,14.0
178.11,5.0,15.0
204.85,5.0,16.0
278.41,5.0,17.0
388.53,5.0,18.0
489.95,5.0,19.0
535.77,5.0,20.0
546.15,5.0,21.0
524.87,5.0,22.0
494.29,5.0,23.0
461.59,6.0,0.0
436.01,6.0,1.0
421.91,6.0,2.0
415.47,6.0,3.0
413.75,6.0,4.0
417.5,6.0,5.0
429.1,6.0,6.0
438.59,6.0,7.0
439.65,6.0,8.0
421.4,6.0,9.0
423.22,6.0,10.0
435.87,6.0,11.0
452.7,6.0,12.0
438.23,6.0,13.0
437.62,6.0,14.0
484.22,6.0,15.0
527.8,6.0,16.0
569.66,6.0,17.0
605.17,6.0,18.0
608.91,6.0,19.0
595.26,6.0,20.0
572.08,6.0,21.0
542.75,6.0,22.0
510.37,6.0,23.0
475.9,0.0,0.0
451.76,0.0,1.0
440.93,0.0,2.0
435.55,0.0,3.0
434.96,0.0,4.0
445.34,0.0,5.0
477.26,0.0,6.0
526.39,0.0,7.0
572.32,0.0,8.0
598.18,0.0,9.0
601.4,0.0,10.0
597.35,0.0,11.0
568.65,0.0,12.0
564.44,0.0,13.0
561.63,0.0,14.0
565.01,0.0,15.0
567.21,0.0,16.0
583.41,0.0,17.0
616.15,0.0,18.0
617.06,0.0,19.0
611.73,0.0,20.0
598.21,0.0,21.0
572.03,0.0,22.0
537.29,0.0,23.0
497.32,1.0,0.0
470.19,1.0,1.0
455.53,1.0,2.0
446.79,1.0,3.0
447.95,1.0,4.0
456.92,1.0,5.0
486.9,1.0,6.0
523.94,1.0,7.0
517.16,1.0,8.0
456.54,1.0,9.0
381.44,1.0,10.0
326.02,1.0,11.0
312.32,1.0,12.0
304.91,1.0,13.0
291.89,1.0,14.0
284.62,1.0,15.0
301.63,1.0,16.0
360.88,1.0,17.0
454.39,1.0,18.0
530.81,1.0,19.0
567.27,1.0,20.0
576.96,1.0,21.0
559.24,1.0,22.0
525.48,1.0,23.0
487.47,2.0,0.0
463.5,2.0,1.0
450.49,2.0,2.0
445.25,2.0,3.0
446.4,2.0,4.0
459.1,2.0,5.0
490.88,2.0,6.0
520.12,2.0,7.0
502.57,2.0,8.0
429.1,2.0,9.0
379.77,2.0,10.0
325.28,2.0,11.0
286.74,2.0,12.0
260.67,2.0,13.0
287.65,2.0,14.0
361.06,2.0,15.0
448.87,2.0,16.0
491.96,2.0,17.0
570.29,2.0,18.0
586.73,2.0,19.0
588.1,2.0,20.0
572.77,2.0,21.0
548.75,2.0,22.0
513.8,2.0,23.0
474.54,3.0,0.0
450.04,3.0,1.0
432.85,3.0,2.0
424.78,3.0,3.0
424.7,3.0,4.0
436.08,3.0,5.0
466.82,3.0,6.0
513.68,3.0,7.0
557.85,3.0,8.0
587.55,3.0,9.0
593.75,3.0,10.0
592.19,3.0,11.0
600.5,3.0,12.0
587.62,3.0,13.0
573.72,3.0,14.0
565.8,3.0,15.0
567.81,3.0,16.0
593.68,3.0,17.0
618.02,3.0,18.0
613.45,3.0,19.0
602.93,3.0,20.0
586.23,3.0,21.0
562.58,3.0,22.0
525.45,3.0,23.0
484.71,4.0,0.0
457.87,4.0,1.0
443.75,4.0,2.0
433.26,4.0,3.0
433.05,4.0,4.0
440.24,4.0,5.0
466.18,4.0,6.0
505.52,4.0,7.0
548.1,4.0,8.0
563.31,4.0,9.0
549.24,4.0,10.0
538.11,4.0,11.0
501.1,4.0,12.0
455.41,4.0,13.0
435.37,4.0,14.0
422.48,4.0,15.0
438.41,4.0,16.0
462.23,4.0,17.0
520.62,4.0,18.0
545.51,4.0,19.0
558.87,4.0,20.0
555.93,4.0,21.0
535.94,4.0,22.0
505.33,4.0,23.0
467.27,5.0,0.0
441.98,5.0,1.0
425.39,5.0,2.0
419.8,5.0,3.0
420.48,5.0,4.0
425.56,5.0,5.0
438.44,5.0,6.0
445.37,5.0,7.0
410.15,5.0,8.0
342.33,5.0,9.0
273.15,5.0,10.0
233.23,5.0,11.0
212.84,5.0,12.0
200.61,5.0,13.0
188.57,5.0,14.0
191.51,5.0,15.0
260.0,5.0,16.0
355.8,5.0,17.0
439.76,5.0,18.0
483.11,5.0,19.0
528.8,5.0,20.0
538.45,5.0,21.0
522.04,5.0,22.0
493.84,5.0,23.0
456.74,6.0,0.0
427.67,6.0,1.0
413.56,6.0,2.0
404.28,6.0,3.0
402.35,6.0,4.0
405.95,6.0,5.0
416.55,6.0,6.0
431.35,6.0,7.0
432.66,6.0,8.0
390.52,6.0,9.0
333.5,6.0,10.0
281.32,6.0,11.0
243.03,6.0,12.0
231.72,6.0,13.0
270.93,6.0,14.0
283.68,6.0,15.0
310.73,6.0,16.0
351.73,6.0,17.0
425.26,6.0,18.0
495.39,6.0,19.0
531.1,6.0,20.0
543.48,6.0,21.0
526.87,6.0,22.0
494.01,6.0,23.0
455.09,0.0,0.0
426.75,0.0,1.0
411.76,0.0,2.0
403.37,0.0,3.0
402.79,0.0,4.0
413.27,0.0,5.0
441.27,0.0,6.0
471.68,0.0,7.0
463.75,0.0,8.0
438.72,0.0,9.0
459.72,0.0,10.0
502.65,0.0,11.0
502.58,0.0,12.0
488.82,0.0,13.0
506.85,0.0,14.0
506.97,0.0,15.0
513.46,0.0,16.0
539.36,0.0,17.0
582.94,0.0,18.0
600.26,0.0,19.0
594.77,0.0,20.0
581.38,0.0,21.0
553.32,0.0,22.0
519.98,0.0,23.0
478.13,1.0,0.0
452.42,1.0,1.0
439.82,1.0,2.0
434.65,1.0,3.0
435.78,1.0,4.0
446.72,1.0,5.0
480.43,1.0,6.0
521.22,1.0,7.0
540.05,1.0,8.0
505.62,1.0,9.0
448.99,1.0,10.0
413.66,1.0,11.0
374.57,1.0,12.0
347.17,1.0,13.0
327.27,1.0,14.0
312.16,1.0,15.0
312.97,1.0,16.0
364.19,1.0,17.0
457.98,1.0,18.0
541.16,1.0,19.0
576.28,1.0,20.0
583.34,1.0,21.0
566.1,1.0,22.0
530.12,1.0,23.0
491.72,2.0,0.0
466.7,2.0,1.0
452.18,2.0,2.0
446.71,2.0,3.0
447.01,2.0,4.0
459.39,2.0,5.0
488.74,2.0,6.0
516.2,2.0,7.0
495.08,2.0,8.0
433.07,2.0,9.0
382.71,2.0,10.0
370.97,2.0,11.0
370.08,2.0,12.0
342.54,2.0,13.0
359.89,2.0,14.0
385.54,2.0,15.0
404.98,2.0,16.0
429.31,2.0,17.0
487.44,2.0,18.0
532.48,2.0,19.0
562.21,2.0,20.0
569.11,2.0,21.0
548.58,2.0,22.0
514.19,2.0,23.0
475.52,3.0,0.0
451.42,3.0,1.0
439.39,3.0,2.0
434.38,3.0,3.0
435.07,3.0,4.0
447.27,3.0,5.0
477.88,3.0,6.0
