,pred,truth
125,461.05229058406724,527.2
126,461.05229058406724,553.09
127,471.58758820273005,558.88
128,481.320471605259,583.23
129,520.4136620443924,622.99
130,560.9466418106591,679.6
131,699.4097161654134,735.59
132,709.4199500000002,751.03
133,700.5905555555556,744.47
134,693.1115555555555,753.35
135,605.8982394947409,698.53
136,496.9434052310373,648.6
137,477.23273965371664,597.35
138,472.58846390701774,561.51
139,480.36976939323995,542.84
140,480.11968483441643,529.78
141,470.5775364827681,524.76
142,466.8391450800532,526.49
143,456.91144365331303,533.16
144,462.0688894898294,529.15
145,451.891342405692,504.91
146,392.67597659738124,481.46
147,395.5328041013142,463.14
148,384.9082174935763,460.95
149,384.9082174935763,475.81
150,372.9365386528092,512.35
151,344.5905661888761,542.09
152,404.7341920302809,569.69
153,439.0712283867115,609.87
154,561.034038667624,661.78
155,648.5423666666667,723.91
156,655.2439999999999,754.29
157,638.2749999999999,754.29
158,638.2749999999999,747.14
159,589.7475507246377,698.25
160,469.3147644484308,639.4
161,453.82822884464196,595.79
162,451.4062404275066,569.96
163,450.72335471322094,549.92
164,450.72335471322094,538.08
165,456.22855793902727,530.64
166,450.0680992924108,529.72
167,450.0680992924108,532.68
168,450.0680992924108,525.85
169,439.32275516380435,504.44
170,398.42929895177963,483.17
171,367.6981853328891,470.32
172,367.00646646548205,484.57
173,355.9036823308667,500.14
174,359.79591676310105,511.89
175,385.2751749831766,525.82
176,393.7953009788122,555.72
177,430.8164831370401,611.51
178,513.1874993996743,688.34
179,624.5753666666667,762.4
180,636.093,781.57
181,619.7354999999999,778.16
182,619.7354999999999,768.24
183,573.0722450980392,715.39
184,468.63187873414506,652.25
185,453.1453431303562,610.45
186,450.72335471322094,584.53
187,450.72335471322094,566.36
188,456.4090428679348,558.14
189,459.5674769338689,561.74
190,465.0726801596753,578.87
191,496.1797845194791,610.62
192,494.416759472863,627.56
193,480.38874292905314,609.84
194,464.34664471015395,581.63
195,458.3400417716783,565.51
196,453.2023191667657,580.7
197,454.06978847098605,613.7
198,476.86189834579284,634.64
199,476.86189834579284,638.8
200,457.7782161143026,660.51
201,504.1413646069224,712.19
202,533.4991102564102,782.07
203,614.7499999999999,809.45
204,616.1265,808.66
205,635.34125,799.6
206,625.5762499999998,796.35
207,620.4617,745.53
208,484.39457092787853,683.96
209,481.7410426440739,643.82
210,473.3625138103154,616.4
211,473.3625138103154,589.6
212,473.3625138103154,578.65
213,473.3625138103154,581.15
214,486.75589244900704,602.31
215,497.41166385006346,643.66
216,501.6552417419231,664.19
217,485.9474066728935,641.53
218,462.00860219815786,600.94
219,442.4530810017517,589.0
220,436.7809787116754,609.04
221,442.21658230756566,625.84
222,437.75175111236206,638.13
223,430.68515111236195,658.74
224,437.876551112362,694.36
225,477.6294954848016,722.72
226,572.1018721611722,776.3
227,682.2213785714287,809.71
228,683.3008785714286,819.89
229,668.0886785714285,818.63
230,646.5994999999999,820.24
231,644.3477,769.17
232,491.46337190278155,707.42
233,509.1028063249558,654.82
234,514.8314321219242,629.3
235,523.9779193558874,612.47
236,523.9779193558874,604.14
237,529.4446736073844,610.83
238,529.4446736073844,636.16
239,525.1596979491629,667.62
240,525.1596979491629,707.84
241,530.458328152839,718.5
242,522.7430107818043,688.95
243,509.6971307818043,638.72
244,492.0890045962775,587.46
245,476.5302919769773,542.39
246,481.617570462598,526.89
247,502.2159901737424,523.15
248,503.22964471919687,542.41
249,518.6507182756131,570.74
250,608.5114268059809,628.73
251,669.8226285714286,678.77
252,678.9441285714286,691.52
253,666.0449285714285,686.09
254,663.7064999999999,676.4
255,658.8196999999999,627.28
256,519.5566840446205,568.9
257,521.3906695886346,528.71
258,529.4531524946175,505.03
259,529.4446736073844,489.19
260,529.4446736073844,480.39
261,529.4446736073844,483.9
262,525.1596979491629,502.3
263,525.1596979491629,532.81
264,525.1596979491629,526.9
265,525.1596979491629,482.49
266,504.65134590712603,429.72
267,484.59277488296027,416.84
268,484.59277488296027,445.25
269,476.5302919769773,466.83
270,483.54298300114306,475.58
271,483.54298300114306,489.83
272,502.2159901737424,499.05
273,517.6370637301586,521.62
274,550.5246152898169,559.51
275,600.4322393689716,628.17
276,616.3951845936907,662.29
277,620.993365890633,662.3
278,612.3128320560465,655.58
279,577.0670329325214,613.55
280,510.01729272649726,562.91
281,510.08452401901434,525.55
282,516.1674625628734,504.03
283,507.17280123907847,490.73
284,507.17280123907847,483.89
285,507.17280123907847,488.46
286,519.9364909234017,503.63
287,525.1596979491629,527.54
288,518.1470069249972,538.82
289,508.2225931208956,497.33
290,446.54115931491367,451.77
291,443.0509715512006,438.88
292,458.50114217205646,462.46
293,457.1934155931516,467.67
294,464.92782885526265,481.56
295,470.52135861973204,482.73
296,478.68918111247297,506.8
297,507.15613466888925,557.15
298,545.1460140993406,616.4
299,594.8398172431823,656.38
300,604.8418989098489,667.74
301,611.8757960729695,661.37
302,599.133828331034,655.38
303,586.1357218171692,613.61
304,500.2184167694988,562.64
305,483.71712896351727,523.25
306,489.04500657423614,500.21
307,478.2319441049109,484.76
308,475.5511947222773,476.15
309,474.67093648051906,478.18
310,479.3721432588595,482.67
311,458.5348963288754,486.19
312,458.5348963288754,486.36
313,455.5284837130233,480.91
314,380.22889361145144,501.54
315,375.9715537966366,524.19
316,367.20291437947327,533.41
317,367.20291437947327,520.4
318,367.20291437947327,490.1
319,367.20291437947327,453.57
320,381.0588322822573,441.18
321,454.6771828651239,480.99
322,532.8261738984213,560.49
323,576.4315273252575,611.1
324,586.2643167989418,631.48
